day_of_year,record_high_F,record_low_F,average_high_F,average_low_F
1-Jan,56,-11,32,19
2-Jan,56,-19,32,19
3-Jan,59,-20,32,19
4-Jan,60,-23,32,19
5-Jan,56,-24,32,18
6-Jan,52,-18,32,18
7-Jan,63,-21,32,18
8-Jan,57,-23,31,18
9-Jan,54,-25,31,18
10-Jan,54,-25,31,18
11-Jan,59,-16,31,17
12-Jan,60,-14,31,17
13-Jan,55,-18,31,17
14-Jan,52,-19,31,17
15-Jan,54,-24,31,17
16-Jan,52,-23,31,17
17-Jan,54,-26,31,17
18-Jan,53,-21,30,17
19-Jan,51,-22,30,17
20-Jan,61,-25,30,17
21-Jan,56,-23,30,16
22-Jan,53,-22,30,16
23-Jan,52,-23,30,16
24-Jan,60,-20,30,16
25-Jan,52,-23,30,16
26-Jan,62,-15,30,16
27-Jan,56,-14,30,17
28-Jan,55,-20,31,17
29-Jan,60,-23,31,17
30-Jan,53,-24,31,17
31-Jan,58,-23,31,17
1-Feb,49,-13,31,17
2-Feb,56,-20,31,17
3-Feb,50,-26,31,17
4-Feb,59,-19,31,17
5-Feb,53,-17,32,18
6-Feb,53,-14,32,18
7-Feb,53,-20,32,18
8-Feb,55,-18,32,18
9-Feb,51,-22,32,18
10-Feb,59,-22,33,19
11-Feb,68,-24,33,19
12-Feb,60,-22,33,19
13-Feb,58,-18,33,19
14-Feb,55,-12,34,20
15-Feb,62,-15,34,20
16-Feb,56,-17,34,20
17-Feb,64,-16,35,21
18-Feb,67,-17,35,21
19-Feb,59,-10,35,21
20-Feb,60,-9,36,21
21-Feb,66,-12,36,22
22-Feb,71,-11,36,22
23-Feb,62,-16,37,22
24-Feb,59,-13,37,23
25-Feb,62,-8,38,23
26-Feb,64,-6,38,23
27-Feb,65,-12,38,24
28-Feb,61,-12,39,24
1-Mar,64,-10,39,24
2-Mar,62,-6,39,25
3-Mar,72,-6,40,25
4-Mar,59,-8,40,25
5-Mar,66,-7,40,26
6-Mar,65,-7,41,26
7-Mar,77,-2,41,26
8-Mar,77,-6,42,27
9-Mar,67,0,42,27
10-Mar,68,-3,42,27
11-Mar,66,2,43,28
12-Mar,76,-3,43,28
13-Mar,74,3,43,28
14-Mar,78,0,44,29
15-Mar,72,2,44,29
16-Mar,71,0,44,29
17-Mar,75,-7,45,29
18-Mar,79,1,45,30
19-Mar,76,-3,45,30
20-Mar,83,-4,46,30
21-Mar,84,-2,46,30
22-Mar,77,-2,46,30
23-Mar,73,5,47,31
24-Mar,76,1,47,31
25-Mar,79,0,47,31
26-Mar,80,1,48,32
27-Mar,81,2,48,32
28-Mar,76,4,48,32
29-Mar,82,4,49,32
30-Mar,77,7,49,33
31-Mar,82,8,49,33
1-Apr,82,15,49,33
2-Apr,82,13,50,34
3-Apr,79,12,50,34
4-Apr,79,14,50,34
5-Apr,79,14,51,34
6-Apr,85,16,51,35
7-Apr,83,12,52,35
8-Apr,77,16,52,35
9-Apr,78,20,52,36
10-Apr,90,19,53,36
11-Apr,83,17,53,36
12-Apr,83,19,53,37
13-Apr,83,19,54,37
14-Apr,85,22,54,37
15-Apr,88,20,54,38
16-Apr,86,12,55,38
17-Apr,84,14,55,38
18-Apr,88,23,56,39
19-Apr,86,23,56,39
20-Apr,83,25,56,39
21-Apr,84,25,57,40
22-Apr,91,26,57,40
23-Apr,85,22,58,40
24-Apr,87,27,58,41
25-Apr,87,27,58,41
26-Apr,85,27,59,41
27-Apr,83,28,59,42
28-Apr,86,28,60,42
29-Apr,86,24,60,42
30-Apr,85,29,60,43
1-May,88,24,61,43
2-May,90,29,61,43
3-May,87,30,62,44
4-May,89,30,62,44
5-May,89,30,62,44
6-May,91,28,63,45
7-May,87,28,63,45
8-May,87,30,64,45
9-May,93,26,64,46
10-May,88,21,64,46
11-May,86,31,65,46
12-May,87,31,65,46
13-May,89,30,66,47
14-May,89,31,66,47
15-May,88,34,66,47
16-May,89,31,67,48
17-May,88,31,67,48
18-May,90,33,67,48
19-May,92,34,68,49
20-May,92,34,68,49
21-May,89,32,68,49
22-May,91,33,69,50
23-May,87,30,69,50
24-May,90,34,70,50
25-May,93,36,70,51
26-May,91,31,70,51
27-May,95,29,71,52
28-May,93,36,71,52
29-May,92,33,71,52
30-May,91,33,72,53
31-May,91,33,72,53
1-Jun,104,36,72,53
2-Jun,93,38,73,54
3-Jun,90,36,73,54
4-Jun,93,33,73,54
5-Jun,94,40,74,55
6-Jun,94,38,74,55
7-Jun,97,40,74,56
8-Jun,93,39,75,56
9-Jun,98,40,75,56
10-Jun,97,39,75,57
11-Jun,95,39,76,57
12-Jun,95,42,76,57
13-Jun,95,42,76,58
14-Jun,101,41,77,58
15-Jun,98,40,77,58
16-Jun,100,41,77,59
17-Jun,94,43,77,59
18-Jun,96,44,78,59
19-Jun,99,44,78,60
20-Jun,99,43,78,60
21-Jun,101,40,79,60
22-Jun,97,38,79,61
23-Jun,95,41,79,61
24-Jun,97,44,79,61
25-Jun,100,43,80,62
26-Jun,97,46,80,62
27-Jun,101,47,80,62
28-Jun,99,49,80,62
29-Jun,100,46,81,63
30-Jun,100,43,81,63
1-Jul,99,40,81,63
2-Jul,98,47,81,63
3-Jul,99,49,81,63
4-Jul,102,45,81,64
5-Jul,103,45,81,64
6-Jul,99,46,82,64
7-Jul,98,48,82,64
8-Jul,101,51,82,64
9-Jul,101,45,82,64
10-Jul,100,44,82,65
11-Jul,100,47,82,65
12-Jul,97,50,82,65
13-Jul,103,52,82,65
14-Jul,102,48,82,65
15-Jul,96,46,82,65
16-Jul,100,45,82,65
17-Jul,100,50,82,65
18-Jul,97,49,82,65
19-Jul,98,51,82,65
20-Jul,100,50,82,65
21-Jul,99,49,82,65
22-Jul,97,47,82,65
23-Jul,99,50,82,65
24-Jul,105,51,82,65
25-Jul,102,52,82,65
26-Jul,101,50,82,65
27-Jul,97,52,82,65
28-Jul,98,53,82,65
29-Jul,98,49,82,65
30-Jul,102,49,82,65
31-Jul,98,49,82,65
